accession	name	segment	date	host	country	abbreviation	virus	strain
KJ686180	EV71/Homo sapiens/VNM/97/2012		2012-03-20	Human	2012-03-20	Viet Nam		EV71/Homosapiens/VNM/97/2012
KJ686186	EV71/Homo sapiens/VNM/40/2011		2011-12-24	Human	2011-12-24	Viet Nam		EV71/Homosapiens/VNM/40/2011
KJ686191	EV71/Homo sapiens/VNM/5/2011		2011-09-26	Human	2011-09-26	Viet Nam		EV71/Homosapiens/VNM/5/2011
KJ686201	EV71/Homo sapiens/VNM/162/2012		2012-07-21	Human	2012-07-21	Viet Nam		EV71/Homosapiens/VNM/162/2012
KJ686202	EV71/Homo sapiens/VNM/96/2012		2012-03-19	Human	2012-03-19	Viet Nam		EV71/Homosapiens/VNM/96/2012
KJ686208	EV71/Homo sapiens/VNM/202/2011		2011-10-14	Human	2011-10-14	Viet Nam		EV71/Homosapiens/VNM/202/2011
KJ686217	EV71/Homo sapiens/VNM/26/2011		2011-10-29	Human	2011-10-29	Viet Nam		EV71/Homosapiens/VNM/26/2011
KJ686218	EV71/Homo sapiens/VNM/218/2011		2011-11-14	Human	2011-11-14	Viet Nam		EV71/Homosapiens/VNM/218/2011
KJ686220	EV71/Homo sapiens/VNM/128/2012		2012-04-22	Human	2012-04-22	Viet Nam		EV71/Homosapiens/VNM/128/2012
KJ686221	EV71/Homo sapiens/VNM/27/2011		2011-11-10	Human	2011-11-10	Viet Nam		EV71/Homosapiens/VNM/27/2011
KJ686227	EV71/Homo sapiens/VNM/28/2011		2011-11-14	Human	2011-11-14	Viet Nam		EV71/Homosapiens/VNM/28/2011
KJ686235	EV71/Homo sapiens/VNM/98/2012		2012-03-22	Human	2012-03-22	Viet Nam		EV71/Homosapiens/VNM/98/2012
KJ686247	EV71/Homo sapiens/VNM/238/2011		2011-12-05	Human	2011-12-05	Viet Nam		EV71/Homosapiens/VNM/238/2011
KJ686259	EV71/Homo sapiens/VNM/58/2012		2012-02-04	Human	2012-02-04	Viet Nam		EV71/Homosapiens/VNM/58/2012
KJ686270	EV71/Homo sapiens/VNM/171/2012		2012-10-23	Human	2012-10-23	Viet Nam		EV71/Homosapiens/VNM/171/2012
